date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:29:41	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20May%202023%2011:29:41%20GMT	http://pixner.net/robots.txt		(from )
04:29:43	55220/55220	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20May%202021%2018:59:42%20GMT	http://pixner.net/jugaro/jugaro/index5.html	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/index5.html	(from )
04:29:43	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20May%202023%2011:29:43%20GMT	http://pixner.net/jugaro/jugaro/assets/images/favicon.png	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/images/favicon.png	(from http://pixner.net/jugaro/jugaro/index5.html)
04:29:43	155758/155758	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jun%202019%2003:56:54%20GMT	http://pixner.net/jugaro/jugaro/assets/css/bootstrap.min.css	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/css/bootstrap.min.css	(from http://pixner.net/jugaro/jugaro/index5.html)
04:29:44	231935/231935	---M-Z	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202019%2014:05:00%20GMT	http://pixner.net/jugaro/jugaro/assets/css/plugin.css	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/css/plugin.css	(from http://pixner.net/jugaro/jugaro/index5.html)
04:29:45	186566/186566	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20May%202021%2014:09:54%20GMT	http://pixner.net/jugaro/jugaro/assets/css/style.css	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/css/style.css	(from http://pixner.net/jugaro/jugaro/index5.html)
04:29:46	17269/17269	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20May%202021%2018:55:20%20GMT	http://pixner.net/jugaro/jugaro/assets/css/responsive.css	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/css/responsive.css	(from http://pixner.net/jugaro/jugaro/index5.html)
04:29:47	35432/35432	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20May%202021%2018:57:24%20GMT	http://pixner.net/jugaro/jugaro/index.html	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/index.html	(from http://pixner.net/jugaro/jugaro/index5.html)
04:29:48	26573/26573	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2002:30:04%20GMT	http://pixner.net/jugaro/jugaro/assets/images/logo2.png	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/assets/images/logo2.png	(from http://pixner.net/jugaro/jugaro/index5.html)
04:29:49	40682/40682	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20May%202021%2018:59:28%20GMT	http://pixner.net/jugaro/jugaro/index2.html	R:/lancer-game/lancergame/pixner.net/jugaro/jugaro/index2.html	(from http://pixner.net/jugaro/jugaro/index5.html)
